"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","CNODE3",,,,"User:","attodev"
"Cmdline:","dstat -tcmndrylpg --output /opt/stack/logs/dstat-csv.log",,,,"Date:","07 Mar 2017 19:12:13 KST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",
07-03 19:15:45,7.846,0.751,91.402,0.0,0.0,0.0,1472430080.0,157339648.0,2583851008.0,63312027648.0,3286.0,808.0,0.0,15482880.0,0.0,186.0,852.0,1472.0,0.810,0.600,0.420,1.0,0.0,11.0,0.0,0.0
07-03 19:15:46,7.923,0.584,91.493,0.0,0.0,0.0,1458487296.0,157413376.0,2583764992.0,63325982720.0,198.0,618.0,0.0,184320.0,0.0,8.0,700.0,1661.0,0.810,0.600,0.420,1.0,0.0,10.0,0.0,0.0
07-03 19:15:47,7.910,0.749,91.341,0.0,0.0,0.0,1457983488.0,157519872.0,2581106688.0,63329038336.0,1130.0,626.0,0.0,204800.0,0.0,2.0,655.0,2115.0,0.810,0.600,0.420,1.0,0.0,9.0,0.0,0.0
07-03 19:15:48,8.090,0.500,91.326,0.083,0.0,0.0,1445056512.0,157609984.0,2580484096.0,63342497792.0,1522.0,2710.0,0.0,761856.0,0.0,4.0,650.0,1631.0,0.810,0.600,0.420,1.0,0.0,6.0,0.0,0.0
07-03 19:15:49,6.511,2.003,91.486,0.0,0.0,0.0,1456484352.0,166830080.0,2611458048.0,63290875904.0,590.0,0.0,12288.0,0.0,3.0,0.0,760.0,2460.0,0.810,0.600,0.420,1.0,0.0,2.0,0.0,0.0
07-03 19:15:50,6.672,1.918,91.410,0.0,0.0,0.0,1475211264.0,169193472.0,2664263680.0,63216979968.0,716.0,166.0,0.0,23019520.0,0.0,86.0,823.0,1752.0,0.830,0.610,0.430,1.0,0.0,1.0,0.0,0.0
07-03 19:15:51,8.0,0.833,91.167,0.0,0.0,0.0,1495891968.0,169193472.0,2664558592.0,63196004352.0,1180.0,0.0,0.0,0.0,0.0,0.0,958.0,21958.0,0.830,0.610,0.430,1.0,0.0,9.0,0.0,0.0
07-03 19:15:52,7.333,1.333,91.333,0.0,0.0,0.0,1464635392.0,169193472.0,2664558592.0,63227260928.0,0.0,0.0,0.0,172032.0,0.0,7.0,746.0,1923.0,0.830,0.610,0.430,1.0,0.0,7.0,0.0,0.0
07-03 19:15:53,8.167,0.333,91.500,0.0,0.0,0.0,1464033280.0,169193472.0,2664566784.0,63227854848.0,590.0,0.0,0.0,0.0,0.0,0.0,698.0,1433.0,0.830,0.610,0.430,1.0,0.0,0.0,0.0,0.0
07-03 19:15:54,8.077,0.583,91.091,0.250,0.0,0.0,1463992320.0,169209856.0,2664566784.0,63227879424.0,590.0,0.0,0.0,16003072.0,0.0,25.0,696.0,2248.0,0.830,0.610,0.430,1.0,0.0,0.0,0.0,0.0
07-03 19:15:55,7.173,1.418,91.410,0.0,0.0,0.0,1422106624.0,169209856.0,2589954048.0,63344377856.0,1341.0,2902.0,0.0,3317760.0,0.0,84.0,833.0,1998.0,0.840,0.620,0.430,1.0,0.0,16.0,0.0,0.0
07-03 19:15:56,7.262,0.334,92.404,0.0,0.0,0.0,1432064000.0,169209856.0,2590085120.0,63334289408.0,1602.0,2810.0,0.0,0.0,0.0,0.0,623.0,1342.0,0.840,0.620,0.430,2.0,0.0,5.0,0.0,0.0
07-03 19:15:57,5.750,0.500,93.750,0.0,0.0,0.0,1447202816.0,169279488.0,2590212096.0,63318953984.0,75351.0,7164.0,0.0,0.0,0.0,0.0,678.0,2218.0,0.840,0.620,0.430,1.0,0.0,3.0,0.0,0.0
07-03 19:15:58,7.089,0.250,92.661,0.0,0.0,0.0,1434767360.0,169320448.0,2591490048.0,63330070528.0,167063.0,5442.0,0.0,4096.0,0.0,1.0,759.0,1590.0,0.840,0.620,0.430,1.0,0.0,0.0,0.0,0.0
07-03 19:15:59,7.673,0.334,91.910,0.083,0.0,0.0,1435303936.0,169369600.0,2591469568.0,63329505280.0,9940.0,2190.0,0.0,2711552.0,0.0,6.0,684.0,2476.0,0.840,0.620,0.430,1.0,0.0,5.0,0.0,0.0
07-03 19:16:00,7.333,0.500,92.083,0.083,0.0,0.0,1447309312.0,169373696.0,2591621120.0,63317344256.0,11631.0,2020.0,0.0,1261568.0,0.0,7.0,643.0,1697.0,0.850,0.620,0.430,1.0,0.0,3.0,0.0,0.0
07-03 19:16:01,7.506,0.334,92.160,0.0,0.0,0.0,1447378944.0,169406464.0,2591715328.0,63317147648.0,7104.0,1873.0,0.0,4096.0,0.0,1.0,653.0,1657.0,0.850,0.620,0.430,1.0,0.0,3.0,0.0,0.0
07-03 19:16:02,7.423,0.417,92.160,0.0,0.0,0.0,1446895616.0,169439232.0,2591825920.0,63317487616.0,8333.0,1917.0,0.0,4096.0,0.0,1.0,677.0,1925.0,0.850,0.620,0.430,1.0,0.0,3.0,0.0,0.0
07-03 19:16:03,5.681,0.251,94.069,0.0,0.0,0.0,1444237312.0,169455616.0,2592829440.0,63319126016.0,862088.0,24867.0,0.0,4096.0,0.0,1.0,1615.0,2192.0,0.850,0.620,0.430,1.0,0.0,0.0,0.0,0.0
07-03 19:16:04,8.243,0.416,91.341,0.0,0.0,0.0,1439440896.0,169476096.0,2594070528.0,63322660864.0,590.0,286.0,0.0,4096.0,0.0,1.0,638.0,2004.0,0.850,0.620,0.430,1.0,0.0,3.0,0.0,0.0
07-03 19:16:05,7.423,0.417,92.077,0.083,0.0,0.0,1439305728.0,169488384.0,2594144256.0,63322710016.0,9172.0,1936.0,0.0,1392640.0,0.0,10.0,684.0,1267.0,0.870,0.630,0.440,1.0,0.0,3.0,0.0,0.0
07-03 19:16:06,7.506,0.334,92.160,0.0,0.0,0.0,1452748800.0,169517056.0,2594205696.0,63309176832.0,8848.0,3084.0,0.0,4096.0,0.0,1.0,665.0,1270.0,0.870,0.630,0.440,1.0,0.0,3.0,0.0,0.0
07-03 19:16:07,7.583,0.500,91.917,0.0,0.0,0.0,1452752896.0,169558016.0,2594344960.0,63308992512.0,30847.0,8728.0,0.0,0.0,0.0,0.0,763.0,1856.0,0.870,0.630,0.440,1.0,0.0,3.0,0.0,0.0
07-03 19:16:08,8.090,0.500,91.410,0.0,0.0,0.0,1443487744.0,169586688.0,2594197504.0,63318376448.0,3226.0,1458.0,0.0,73728.0,0.0,11.0,705.0,1496.0,0.870,0.630,0.440,1.0,0.0,4.0,0.0,0.0
07-03 19:16:09,7.930,0.584,91.486,0.0,0.0,0.0,1452732416.0,169603072.0,2594086912.0,63309225984.0,816.0,816.0,0.0,24576.0,0.0,6.0,699.0,2068.0,0.870,0.630,0.440,1.0,0.0,7.0,0.0,0.0
07-03 19:16:10,8.326,0.250,91.424,0.0,0.0,0.0,1451626496.0,169611264.0,2594025472.0,63310385152.0,848.0,642.0,0.0,643072.0,0.0,15.0,669.0,1491.0,0.880,0.640,0.440,1.0,0.0,3.0,0.0,0.0
07-03 19:16:11,8.167,0.500,91.333,0.0,0.0,0.0,1446359040.0,169635840.0,2594967552.0,63314685952.0,3346.0,1260.0,0.0,49152.0,0.0,11.0,744.0,2100.0,0.880,0.640,0.440,1.0,0.0,4.0,0.0,0.0
07-03 19:16:12,8.173,0.334,91.410,0.083,0.0,0.0,1450807296.0,169652224.0,2594873344.0,63310315520.0,788.0,634.0,0.0,4096.0,0.0,1.0,709.0,1980.0,0.880,0.640,0.440,1.0,0.0,5.0,0.0,0.0
07-03 19:16:13,8.083,0.500,91.417,0.0,0.0,0.0,1440051200.0,169889792.0,2599833600.0,63315873792.0,1538.0,2038.0,0.0,45056.0,0.0,10.0,685.0,1424.0,0.880,0.640,0.440,1.0,0.0,0.0,0.0,0.0
07-03 19:16:14,8.007,0.500,91.493,0.0,0.0,0.0,1441005568.0,169975808.0,2596364288.0,63318302720.0,1999.0,524.0,0.0,16384.0,0.0,2.0,661.0,2119.0,0.880,0.640,0.440,1.0,0.0,0.0,0.0,0.0
07-03 19:16:15,6.667,2.0,91.250,0.083,0.0,0.0,1411538944.0,170176512.0,2596671488.0,63347261440.0,3616.0,12342.0,147456.0,2760704.0,36.0,11.0,969.0,3329.0,0.890,0.640,0.440,1.0,0.0,123.0,0.0,0.0
07-03 19:16:16,7.423,1.168,91.410,0.0,0.0,0.0,1485279232.0,170180608.0,2598903808.0,63271284736.0,998.0,174.0,0.0,274432.0,0.0,1.0,719.0,2230.0,0.890,0.640,0.440,1.0,0.0,17.0,0.0,0.0
07-03 19:16:17,7.339,1.501,91.159,0.0,0.0,0.0,1484701696.0,170188800.0,2604724224.0,63266033664.0,590.0,0.0,0.0,0.0,0.0,0.0,743.0,2740.0,0.890,0.640,0.440,1.0,0.0,28.0,0.0,0.0
07-03 19:16:18,6.339,2.585,91.076,0.0,0.0,0.0,1421447168.0,170213376.0,2606538752.0,63327449088.0,9892.0,33850.0,0.0,172032.0,0.0,6.0,1329.0,5283.0,0.890,0.640,0.440,1.0,0.0,291.0,0.0,0.0
07-03 19:16:19,7.500,0.583,91.333,0.583,0.0,0.0,1484107776.0,170299392.0,2607398912.0,63263842304.0,9638.0,127216.0,0.0,6443008.0,0.0,68.0,1103.0,5670.0,0.890,0.640,0.440,0.0,1.0,6.0,0.0,0.0
07-03 19:16:20,2.594,1.088,90.879,5.272,0.0,0.167,1485168640.0,170831872.0,2607173632.0,63262474240.0,2010.0,5794.0,0.0,63647744.0,0.0,948.0,1806.0,5506.0,0.900,0.650,0.450,1.0,0.0,0.0,0.0,0.0
07-03 19:16:21,3.359,1.259,91.688,3.610,0.0,0.084,1485185024.0,171331584.0,2607886336.0,63261245440.0,4306.0,9794.0,0.0,16343040.0,0.0,381.0,1320.0,5734.0,0.900,0.650,0.450,1.0,0.0,0.0,0.0,0.0
07-03 19:16:22,3.094,0.836,91.639,4.348,0.0,0.084,1488363520.0,171855872.0,2607509504.0,63257919488.0,1014.0,4502.0,0.0,19836928.0,0.0,464.0,1313.0,5827.0,0.900,0.650,0.450,1.0,0.0,0.0,0.0,0.0
07-03 19:16:23,3.518,0.921,91.876,3.601,0.0,0.084,1489408000.0,172298240.0,2607620096.0,63256322048.0,1460.0,1618.0,0.0,21032960.0,0.0,378.0,1155.0,4247.0,0.900,0.650,0.450,0.0,1.0,0.0,0.0,0.0
07-03 19:16:24,6.177,1.252,91.235,1.336,0.0,0.0,1441550336.0,172429312.0,2607820800.0,63303847936.0,1654.0,1434.0,0.0,8736768.0,0.0,122.0,866.0,3028.0,0.900,0.650,0.450,1.0,0.0,7.0,0.0,0.0
07-03 19:16:25,6.182,0.585,91.395,1.754,0.0,0.084,1485910016.0,172683264.0,2607607808.0,63259447296.0,654.0,2774.0,0.0,43171840.0,0.0,391.0,1058.0,4392.0,0.900,0.650,0.450,0.0,1.0,0.0,0.0,0.0
07-03 19:16:26,3.183,0.754,91.792,4.104,0.0,0.168,1485504512.0,173203456.0,2607652864.0,63259287552.0,1976.0,5702.0,0.0,2740224.0,0.0,436.0,1116.0,7647.0,0.900,0.650,0.450,1.0,0.0,0.0,0.0,0.0
07-03 19:16:27,7.167,1.083,91.167,0.583,0.0,0.0,1430953984.0,173281280.0,2607833088.0,63313580032.0,1778.0,4052.0,0.0,593920.0,0.0,63.0,843.0,3862.0,0.900,0.650,0.450,1.0,0.0,55.0,0.0,0.0
07-03 19:16:28,7.993,0.583,91.341,0.083,0.0,0.0,1421385728.0,173334528.0,2609913856.0,63321014272.0,590.0,0.0,0.0,815104.0,0.0,8.0,672.0,1991.0,0.900,0.650,0.450,1.0,0.0,1.0,0.0,0.0
07-03 19:16:29,8.013,0.501,91.319,0.167,0.0,0.0,1420910592.0,173342720.0,2609926144.0,63321468928.0,590.0,0.0,0.0,897024.0,0.0,16.0,734.0,2999.0,0.900,0.650,0.450,1.0,0.0,7.0,0.0,0.0
07-03 19:16:30,8.167,0.667,90.583,0.583,0.0,0.0,1420550144.0,173383680.0,2609905664.0,63321808896.0,60.0,0.0,0.0,15654912.0,0.0,144.0,865.0,3488.0,0.910,0.660,0.450,1.0,0.0,5.0,0.0,0.0
07-03 19:16:31,7.846,0.584,91.569,0.0,0.0,0.0,1420349440.0,173383680.0,2609950720.0,63321964544.0,1180.0,0.0,0.0,0.0,0.0,0.0,698.0,1771.0,0.910,0.660,0.450,1.0,0.0,5.0,0.0,0.0
07-03 19:16:32,7.903,0.749,91.265,0.083,0.0,0.0,1418489856.0,173383680.0,2609958912.0,63323815936.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,2259.0,0.910,0.660,0.450,1.0,0.0,5.0,0.0,0.0
07-03 19:16:33,8.083,0.500,91.417,0.0,0.0,0.0,1417936896.0,173387776.0,2609967104.0,63324356608.0,590.0,0.0,0.0,0.0,0.0,0.0,644.0,1560.0,0.910,0.660,0.450,1.0,0.0,5.0,0.0,0.0
07-03 19:16:34,7.930,0.584,91.486,0.0,0.0,0.0,1412124672.0,173387776.0,2609975296.0,63330160640.0,1770.0,0.0,0.0,0.0,0.0,0.0,659.0,2096.0,0.910,0.660,0.450,1.0,0.0,5.0,0.0,0.0
07-03 19:16:35,8.083,0.500,91.417,0.0,0.0,0.0,1463017472.0,173387776.0,2609983488.0,63279259648.0,60.0,0.0,0.0,880640.0,0.0,10.0,686.0,1746.0,0.920,0.660,0.450,1.0,0.0,4.0,0.0,0.0
07-03 19:16:36,8.0,0.583,91.417,0.0,0.0,0.0,1457745920.0,173391872.0,2609995776.0,63284514816.0,590.0,0.0,0.0,69632.0,0.0,2.0,658.0,1737.0,0.920,0.660,0.450,1.0,0.0,5.0,0.0,0.0
07-03 19:16:37,7.923,0.584,91.493,0.0,0.0,0.0,1448062976.0,173391872.0,2610008064.0,63294185472.0,2950.0,0.0,0.0,0.0,0.0,0.0,659.0,2195.0,0.920,0.660,0.450,1.0,0.0,7.0,0.0,0.0
07-03 19:16:38,8.007,0.500,91.493,0.0,0.0,0.0,1421746176.0,173391872.0,2610061312.0,63320449024.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,1533.0,0.920,0.660,0.450,1.0,0.0,1.0,0.0,0.0
07-03 19:16:39,8.083,0.500,91.417,0.0,0.0,0.0,1421602816.0,173391872.0,2610073600.0,63320580096.0,932.0,0.0,0.0,0.0,0.0,0.0,694.0,1957.0,0.920,0.660,0.450,1.0,0.0,7.0,0.0,0.0
07-03 19:16:40,6.339,2.669,90.909,0.083,0.0,0.0,1418842112.0,173408256.0,2610061312.0,63323336704.0,9016.0,21978.0,0.0,749568.0,0.0,23.0,1331.0,6301.0,0.930,0.670,0.460,1.0,0.0,480.0,0.0,0.0
07-03 19:16:41,8.083,0.500,91.417,0.0,0.0,0.0,1467547648.0,173424640.0,2610708480.0,63273967616.0,590.0,0.0,0.0,294912.0,0.0,2.0,662.0,1838.0,0.930,0.670,0.460,1.0,0.0,4.0,0.0,0.0
07-03 19:16:42,7.930,0.584,91.486,0.0,0.0,0.0,1441890304.0,173428736.0,2610929664.0,63299399680.0,932.0,0.0,0.0,0.0,0.0,0.0,681.0,2307.0,0.930,0.670,0.460,1.0,0.0,5.0,0.0,0.0
07-03 19:16:43,8.326,0.333,91.341,0.0,0.0,0.0,1423020032.0,173428736.0,2610933760.0,63318265856.0,1180.0,0.0,0.0,0.0,0.0,0.0,651.0,1909.0,0.930,0.670,0.460,1.0,0.0,1.0,0.0,0.0
07-03 19:16:44,5.150,4.817,90.033,0.0,0.0,0.0,1411231744.0,173449216.0,2610958336.0,63330009088.0,6462.0,19994.0,0.0,1499136.0,0.0,29.0,1458.0,8671.0,0.930,0.670,0.460,1.0,0.0,780.0,0.0,0.0
07-03 19:16:45,5.828,4.330,89.759,0.0,0.0,0.083,1508339712.0,173449216.0,2610991104.0,63232868352.0,9170.0,29296.0,0.0,5316608.0,0.0,92.0,1769.0,8780.0,0.930,0.680,0.460,1.0,0.0,778.0,0.0,0.0
07-03 19:16:46,6.312,3.322,90.199,0.083,0.0,0.083,1514508288.0,173453312.0,2611048448.0,63226638336.0,4776.0,18102.0,0.0,872448.0,0.0,16.0,1383.0,6568.0,0.930,0.680,0.460,1.0,0.0,504.0,0.0,0.0
07-03 19:16:47,8.007,0.584,91.410,0.0,0.0,0.0,1552183296.0,173457408.0,2611073024.0,63188934656.0,1770.0,518.0,0.0,0.0,0.0,0.0,742.0,2269.0,0.930,0.680,0.460,1.0,0.0,4.0,0.0,0.0
07-03 19:16:48,3.506,1.169,91.653,3.673,0.0,0.0,1566543872.0,173809664.0,2612518912.0,63172775936.0,264.0,1118.0,0.0,17145856.0,0.0,379.0,1234.0,4592.0,0.930,0.680,0.460,2.0,0.0,0.0,0.0,0.0
07-03 19:16:49,2.429,1.089,91.457,4.941,0.0,0.084,1569697792.0,174526464.0,2613207040.0,63168217088.0,590.0,0.0,0.0,16474112.0,0.0,519.0,1428.0,5876.0,0.930,0.680,0.460,0.0,1.0,2.0,0.0,0.0
07-03 19:16:50,2.094,1.256,91.374,5.193,0.0,0.084,1579503616.0,175271936.0,2613846016.0,63157026816.0,1438.0,706.0,0.0,27992064.0,0.0,723.0,1621.0,5421.0,0.860,0.660,0.460,1.0,0.0,0.0,0.0,0.0
07-03 19:16:51,1.759,1.424,91.541,5.276,0.0,0.0,1573015552.0,176005120.0,2613825536.0,63162802176.0,1254.0,4576.0,0.0,18223104.0,0.0,565.0,1527.0,5447.0,0.860,0.660,0.460,1.0,1.0,0.0,0.0,0.0
07-03 19:16:52,2.090,0.669,91.639,5.518,0.0,0.084,1572524032.0,176734208.0,2614165504.0,63162224640.0,1580.0,3656.0,0.0,14254080.0,0.0,587.0,1541.0,5873.0,0.860,0.660,0.460,0.0,1.0,0.0,0.0,0.0
07-03 19:16:53,2.181,1.007,91.695,5.034,0.0,0.084,1575858176.0,177598464.0,2614157312.0,63158034432.0,1262.0,2912.0,0.0,17326080.0,0.0,552.0,1502.0,5478.0,0.860,0.660,0.460,1.0,0.0,0.0,0.0,0.0
07-03 19:16:54,4.177,2.840,90.476,2.506,0.0,0.0,1527640064.0,177983488.0,2614140928.0,63205883904.0,5936.0,16678.0,24576.0,7622656.0,2.0,270.0,1533.0,6486.0,0.860,0.660,0.460,1.0,0.0,260.0,0.0,0.0
07-03 19:16:55,8.0,0.500,91.333,0.167,0.0,0.0,1569533952.0,178012160.0,2614984704.0,63163117568.0,926.0,1578.0,0.0,638976.0,0.0,54.0,778.0,1573.0,0.870,0.670,0.460,1.0,0.0,5.0,0.0,0.0
07-03 19:16:56,2.840,0.668,91.562,4.762,0.0,0.167,1571790848.0,178774016.0,2615156736.0,63159926784.0,4166.0,212450.0,0.0,9830400.0,0.0,538.0,1718.0,10980.0,0.870,0.670,0.460,0.0,1.0,0.0,0.0,0.0
07-03 19:16:57,2.917,0.583,91.417,5.083,0.0,0.0,1575170048.0,179490816.0,2623705088.0,63147282432.0,3584.0,11478.0,0.0,16445440.0,0.0,546.0,1587.0,6864.0,0.870,0.670,0.460,0.0,0.0,0.0,0.0,0.0
07-03 19:16:58,3.008,1.003,91.312,4.678,0.0,0.0,1576235008.0,179924992.0,2624000000.0,63145488384.0,4706.0,11760.0,0.0,10653696.0,0.0,499.0,1527.0,6467.0,0.870,0.670,0.460,0.0,1.0,0.0,0.0,0.0
07-03 19:16:59,1.844,1.174,95.809,1.174,0.0,0.0,1518292992.0,180072448.0,2625200128.0,63202082816.0,2838.0,10688.0,1175552.0,2105344.0,257.0,123.0,1148.0,6188.0,0.870,0.670,0.460,0.0,0.0,112.0,0.0,0.0
07-03 19:17:00,0.838,0.921,97.990,0.251,0.0,0.0,1519640576.0,180092928.0,2626211840.0,63199703040.0,4078.0,9048.0,1724416.0,2498560.0,421.0,223.0,1074.0,5699.0,0.880,0.680,0.460,0.0,0.0,96.0,0.0,0.0
07-03 19:17:01,2.506,1.504,95.823,0.167,0.0,0.0,1535725568.0,180121600.0,2626052096.0,63183749120.0,2454.0,7622.0,905216.0,516096.0,221.0,18.0,858.0,4679.0,0.880,0.680,0.460,1.0,0.0,122.0,0.0,0.0
07-03 19:17:02,8.257,0.417,91.243,0.083,0.0,0.0,1599860736.0,180150272.0,2627637248.0,63118000128.0,590.0,0.0,0.0,598016.0,0.0,7.0,691.0,2219.0,0.880,0.680,0.460,1.0,0.0,7.0,0.0,0.0
07-03 19:17:03,8.514,0.0,91.486,0.0,0.0,0.0,1605763072.0,180158464.0,2627661824.0,63112065024.0,590.0,0.0,0.0,700416.0,0.0,7.0,584.0,1096.0,0.880,0.680,0.460,1.0,0.0,0.0,0.0,0.0
07-03 19:17:04,3.005,0.751,91.653,4.508,0.0,0.083,1616527360.0,180625408.0,2629304320.0,63099191296.0,2602.0,73772.0,0.0,18604032.0,0.0,466.0,1429.0,7963.0,0.880,0.680,0.460,1.0,0.0,2.0,0.0,0.0
07-03 19:17:05,1.171,1.003,92.140,5.602,0.0,0.084,1621737472.0,181145600.0,2630967296.0,63091798016.0,650.0,0.0,0.0,64032768.0,0.0,583.0,1503.0,5828.0,0.970,0.700,0.470,0.0,1.0,0.0,0.0,0.0
07-03 19:17:06,1.589,1.505,91.806,5.100,0.0,0.0,1620762624.0,181747712.0,2629677056.0,63093460992.0,0.0,0.0,0.0,41549824.0,0.0,534.0,1422.0,5277.0,0.970,0.700,0.470,1.0,1.0,0.0,0.0,0.0
07-03 19:17:07,4.333,0.500,91.083,4.0,0.0,0.083,1627410432.0,182042624.0,2629799936.0,63086395392.0,3010.0,0.0,0.0,6066176.0,0.0,425.0,1340.0,5884.0,0.970,0.700,0.470,1.0,0.0,0.0,0.0,0.0
07-03 19:17:08,4.595,0.418,91.562,3.342,0.0,0.084,1635250176.0,182325248.0,2630172672.0,63077900288.0,3950.0,11130.0,0.0,6885376.0,0.0,362.0,1316.0,6252.0,0.970,0.700,0.470,1.0,0.0,0.0,0.0,0.0
07-03 19:17:09,3.515,0.586,91.632,4.184,0.0,0.084,1638842368.0,182796288.0,2630176768.0,63073832960.0,3102.0,9182.0,0.0,10186752.0,0.0,460.0,1533.0,6799.0,0.970,0.700,0.470,1.0,0.0,2.0,0.0,0.0
07-03 19:17:10,3.933,0.586,91.548,3.933,0.0,0.0,1642950656.0,183169024.0,2630234112.0,63069294592.0,5454.0,5458.0,0.0,13189120.0,0.0,409.0,1382.0,5317.0,0.970,0.700,0.470,0.0,1.0,0.0,0.0,0.0
07-03 19:17:11,3.347,0.837,91.381,4.268,0.0,0.167,1643036672.0,183721984.0,2630230016.0,63068659712.0,4224.0,13538.0,0.0,8589312.0,0.0,469.0,1622.0,6307.0,0.970,0.700,0.470,0.0,1.0,0.0,0.0,0.0
07-03 19:17:12,2.263,0.671,91.785,5.197,0.0,0.084,1647005696.0,184406016.0,2630320128.0,63063916544.0,1736.0,2828.0,0.0,23162880.0,0.0,565.0,1537.0,6010.0,0.970,0.700,0.470,1.0,0.0,1.0,0.0,0.0
07-03 19:17:13,7.750,0.917,91.250,0.083,0.0,0.0,1612902400.0,184418304.0,2630561792.0,63097765888.0,3152.0,1942.0,0.0,790528.0,0.0,9.0,766.0,2014.0,0.970,0.700,0.470,1.0,0.0,40.0,0.0,0.0
07-03 19:17:14,8.500,0.083,91.333,0.083,0.0,0.0,1616175104.0,184426496.0,2630561792.0,63094484992.0,590.0,0.0,0.0,610304.0,0.0,11.0,591.0,1645.0,0.970,0.700,0.470,1.0,0.0,0.0,0.0,0.0
07-03 19:17:15,4.576,3.328,90.516,1.581,0.0,0.0,1537085440.0,184651776.0,2630692864.0,63173218304.0,5942.0,26548.0,0.0,11083776.0,0.0,261.0,1730.0,7926.0,0.970,0.710,0.480,1.0,0.0,537.0,0.0,0.0
07-03 19:17:16,0.500,0.667,98.750,0.083,0.0,0.0,1534373888.0,184655872.0,2630729728.0,63175888896.0,2768.0,8508.0,0.0,630784.0,0.0,6.0,520.0,1935.0,0.970,0.710,0.480,1.0,0.0,128.0,0.0,0.0
07-03 19:17:17,0.417,0.083,99.417,0.083,0.0,0.0,1534418944.0,184659968.0,2630729728.0,63175839744.0,1180.0,0.0,0.0,520192.0,0.0,14.0,281.0,694.0,0.970,0.710,0.480,0.0,0.0,0.0,0.0,0.0
07-03 19:17:18,0.585,0.084,99.248,0.084,0.0,0.0,1534398464.0,184680448.0,2630729728.0,63175839744.0,590.0,0.0,0.0,1150976.0,0.0,18.0,281.0,680.0,0.970,0.710,0.480,1.0,0.0,0.0,0.0,0.0
07-03 19:17:19,7.846,1.920,89.149,1.085,0.0,0.0,1600155648.0,184791040.0,2630778880.0,63109922816.0,3362.0,12914.0,0.0,32714752.0,0.0,159.0,1241.0,7371.0,0.970,0.710,0.480,1.0,0.0,180.0,0.0,0.0
07-03 19:17:20,3.333,0.333,96.333,0.0,0.0,0.0,1620770816.0,184795136.0,2630922240.0,63089160192.0,650.0,0.0,0.0,2011136.0,0.0,216.0,668.0,1979.0,0.900,0.700,0.470,1.0,0.0,3.0,0.0,0.0
07-03 19:17:21,0.334,0.084,99.582,0.0,0.0,0.0,1620758528.0,184795136.0,2630934528.0,63089160192.0,590.0,0.0,0.0,0.0,0.0,0.0,255.0,886.0,0.900,0.700,0.470,0.0,0.0,0.0,0.0,0.0
07-03 19:17:22,6.255,1.501,92.244,0.0,0.0,0.0,1686757376.0,184795136.0,2630946816.0,63023149056.0,1550.0,7244.0,0.0,0.0,0.0,0.0,754.0,3461.0,0.900,0.700,0.470,1.0,0.0,101.0,0.0,0.0
07-03 19:17:23,7.423,0.584,91.910,0.083,0.0,0.0,1735974912.0,184832000.0,2631462912.0,62973378560.0,590.0,0.0,290816.0,430080.0,5.0,10.0,726.0,3184.0,0.900,0.700,0.470,0.0,0.0,7.0,0.0,0.0
07-03 19:17:24,0.417,0.667,98.832,0.083,0.0,0.0,1739546624.0,184832000.0,2631888896.0,62969380864.0,50730.0,9177.0,0.0,0.0,0.0,0.0,599.0,2191.0,0.900,0.700,0.470,1.0,0.0,99.0,0.0,0.0
07-03 19:17:25,0.336,0.504,99.160,0.0,0.0,0.0,1739776000.0,184832000.0,2636873728.0,62964166656.0,5329922.0,127364.0,0.0,684032.0,0.0,32.0,5309.0,5233.0,0.820,0.680,0.470,1.0,0.0,0.0,0.0,0.0
07-03 19:17:26,0.760,1.014,98.142,0.0,0.0,0.084,1742577664.0,184832000.0,2645172224.0,62953066496.0,8603814.0,158842.0,0.0,0.0,0.0,0.0,7440.0,9165.0,0.820,0.680,0.470,2.0,0.0,43.0,0.0,0.0
07-03 19:17:27,7.352,1.420,91.228,0.0,0.0,0.0,1748566016.0,184832000.0,2645188608.0,62947061760.0,924.0,8548.0,0.0,0.0,0.0,0.0,898.0,3502.0,0.820,0.680,0.470,1.0,0.0,69.0,0.0,0.0
07-03 19:17:28,3.753,1.334,94.912,0.0,0.0,0.0,1727483904.0,184832000.0,2642329600.0,62971002880.0,1448.0,760.0,102400.0,0.0,6.0,0.0,959.0,2516.0,0.820,0.680,0.470,1.0,0.0,78.0,0.0,0.0
07-03 19:17:29,0.334,0.251,99.332,0.084,0.0,0.0,1727188992.0,184832000.0,2642329600.0,62971297792.0,590.0,0.0,0.0,1343488.0,0.0,3.0,371.0,1209.0,0.820,0.680,0.470,0.0,0.0,2.0,0.0,0.0
07-03 19:17:30,0.334,0.084,99.582,0.0,0.0,0.0,1727062016.0,184832000.0,2642329600.0,62971424768.0,650.0,0.0,0.0,860160.0,0.0,111.0,457.0,807.0,0.760,0.670,0.470,0.0,0.0,0.0,0.0,0.0
